Frame,Folder,Avg Intensity,Max Intensity,Predicted Max Intensity,Balance Index,Predicted Balance Index
400,frames1,0.8471478521337459,1.0,1.0,0.842394501834138,0.7898164094786038
401,frames2,0.8556400877465864,1.0,1.0,0.8508390874758514,0.7890116206121369
403,frames2,0.8008630213649508,1.0,1.0,0.7963693754530103,0.787400798003411
404,frames2,0.727500498430921,1.0,1.0,0.7234184899556926,0.7865948866194941
405,frames2,0.8082938829452774,1.0,1.0,0.8037585424365434,0.7857887234214374
406,frames2,0.7163432253225614,1.0,1.0,0.7123238203554915,0.7849823695884124
407,frames2,0.8263791970712372,1.0,1.0,0.8217423797859257,0.7841758862995907
408,frames2,0.8134659521196853,1.0,1.0,0.8089015911082164,0.7833693347341433
409,frames2,0.8802356612099592,1.0,1.0,0.8752966550690603,0.782562776071243
410,frames2,0.7930599484280058,1.0,1.0,0.788610085592407,0.7817562714900614
411,frames2,0.7825582497960456,1.0,1.0,0.7781673120373539,0.78094988216977
412,frames2,0.8373685831611287,1.0,1.0,0.8326701043824529,0.7801436692895403
413,frames2,0.7083013032592085,1.0,1.0,0.704327021551972,0.7793376940285446
414,frames2,0.8170417393701065,1.0,1.0,0.8124573146007524,0.7785320175659531
415,frames2,0.7639694346749962,1.0,1.0,0.7596827988391653,0.7777267010809392
418,frames2,0.775213353926742,1.0,1.0,0.7708636284108635,0.7753135232830768
419,frames2,0.7895869133031179,1.0,1.0,0.7851565376827789,0.7745102585000876
420,frames2,0.7844950976743599,1.0,1.0,0.7800932922537607,0.7737076595905343
421,frames2,0.8142422491977959,1.0,1.0,0.8096735323800299,0.7729057877335881
422,frames2,0.708387896332661,1.0,1.0,0.704413128751311,0.7721047041084208
423,frames2,0.7102382553820351,1.0,1.0,0.7062531054279747,0.771304469894204
424,frames2,0.8115311280463587,1.0,1.0,0.8069776233412187,0.7705051462701096
425,frames2,0.8071730990174462,1.0,1.0,0.802644047232228,0.7697067944153095
426,frames2,0.8594009037544345,1.0,1.0,0.854578801528648,0.7689094755089749
427,frames2,0.800688811726469,1.0,1.0,0.7961961433055712,0.7681132507302781
428,frames2,0.6974421031190129,1.0,1.0,0.6935287524312082,0.7673181812583902
429,frames2,0.6909012830812616,1.0,1.0,0.6870246329632663,0.7665243282724836
430,frames2,0.713647130543754,1.0,1.0,0.7096428533762673,0.7657317529517289
432,frames2,0.6903148963266527,1.0,1.0,0.6864415364272994,0.7641506800223652
436,frames2,0.6993220581331464,1.0,1.0,0.6953981590095436,0.7610065580290233
438,frames2,0.7181455390238289,1.0,1.0,0.7141160212667066,0.7594444878317932
442,frames2,0.7478894912136995,1.0,1.0,0.7436930800108851,0.7563427762030817
443,frames2,0.6926292095435767,1.0,1.0,0.6887428640226517,0.7555723778339367
444,frames2,0.685517632096893,1.0,1.0,0.6816711896680927,0.7548041136383479
